,count
OpenAI,56
Ross Intelligence,52
Google,36
Microsoft,33
Meta,25
Apple,16
Oracle,13
Anthropic,9
Stability AI,8
xAI,7
Bell Atlantic Corp,5
OpenAI LLC,5
Generative AI,5
ByteDance,4
Zenith Radio Corp,4
Fourth Est. Pub. Benefit Corp,4
Celotex Corp,4
Google Generative AI,4
Tesla,4
Amazon,4
DiCello Levitt Gutzler LLC,3
AMF Inc,3
Universal Music Corp,3
Bloomberg,3
OPENAI GLOBAL LLC,3
See Apple Inc,3
Gas Corp,3
R.R. Passenger Corp,3
MGB NA LLC,3
Delaware Corporation,3
For Alphabet Inc,3
DiCello Levitt LLC,3
Gen. Motors Corp,3
Exxon Corp,3
News Corp,3
Tunes LLC,3
Premier Nutrition Corp,3
Almo Music Corp,3
Perplexity,3
GTE Corp,3
Alphabet Inc,3
Granite Music Corp,3
Criterion Music Corp,3
TransUnion LLC,3
Pure Sports Techs. LLC,2
For Valley Bodega Wholesale Inc,2
OpenAI Inc,2
TikTok Pte. Ltd,2
TikTok Inc,2
Kwikset Corp,2
PRETTY PRINCESS LLC,2
OPENAI OPCO LLC,2
AT&T Corp,2
JAXSON MANAGEMENT LLC,2
CA USA. For Microsoft Corporation,2
Costco Wholesale Corp,2
ByteDance Inc,2
For Top Experience Company LLC,2
For S&N Global Supply Inc,2
Coty Inc,2
IN RE GOOGLE GENERATIVE AI,2
Flycatcher Corp. Ltd,2
MODA ORIGINAL LLC,2
Advanced Systems,2
Keene Corp,2
Plaintiffs Flycatcher Corp. Ltd,2
S&N Global Supply Inc,2
TOP EXPERIENCE COMPANY LLC,2
VALUE VALLEY WHOLESALE LLC,2
We Pay Cost LLC,2
OZMOS COMPANY LLC,2
For Affable Avenue LLC,2
CDC Newburgh Inc,2
Koffsky Schwalb LLC,2
Fashion Exch. LLC,2
Invisible Inc,2
Trading Inc,2
WE PAY COST LLC,2
LLM AI,2
Databricks,2
Warner Bros. Ent. Inc,2
AYANEE LLC,2
Rearden LLC,2
See Bell Atl. Corp,2
Everyday Health Media LLC,2
Motorola Mobility LLC,2
For IGN Entertainment Inc,2
For Ziff Davis Inc,2
Intel Corp,2
Universal Inc,2
Sanmina Corp,2
Jubilee Communications Inc,2
Irving Music Inc,2
Midjourney,2
Abkco Music Inc,2
AFFABLE AVENUE LLC,2
Hilton Hotels Corp,2
Network Automation Inc,2
Neogen Corp,2
Perplexity AI,2
FORTUNA KG LLC,2
Affable Ave. LLC,2
Affable Ave. LLC Flycatcher Corp,2
California Corporation,2
Three Boys Music Corp,2
Co. Inc,2
PERPLEXITY AI,2
STABILITY AI,2
ABC Corp,2
Associates Inc,2
Universal Pictures Corp,2
Texaco Inc,2
See Google LLC,2
Elec. Corp,2
Defendants Top Experience Company LLC,2
Adobe,2
Openai Inc,2
Ross Intel. Inc,2
See TransUnion LLC,2
OpenAI Startup Fund Management LLC,2
For Flycatcher Corp. Ltd,2
Lin LLC,1
Playground AI LLC,1
PLAYGROUND AI LLC,1
Playground AI,1
Cent. Park Boathouse LLC,1
Seagate Tech. LLC,1
For Google LLC,1
Vacuum Sys. Inc,1
Resorts Worldwide Inc,1
MEGA PG DISTRIBUTIONS LLC,1
For MEGA PG DISTRIBUTIONS LLC,1
Cucina Italiana LLC,1
Defendant MH Sub I. LLC,1
For New Balance Athletics Inc,1
PennyMac Loan Servs. LLC,1
Ebay Inc,1
Defendant Ebay Inc,1
Viral DRM LLC,1
Sovereign AI Consciousness Systems,1
Seven W. Media Ltd,1
Redfin Corp,1
OpenAi Inc,1
Gen. Elec. Capital Corp,1
FL USA. For OpenAI Inc,1
ADAMARIS LLC,1
Lifetime Well LLC,1
LIFETIME WELL LLC,1
I. BACKGROUND Playground AI,1
IBSpot.com Inc,1
I. Facts Lifetime Well LLC,1
For LIFETIME WELL LLC,1
COM INC. Lifetime Well LLC,1
JUUL Labs,1
PingPong Global Solutions Inc,1
District Judge For Playground AI,1
MAI Sys. Corp,1
Amgen Inc,1
Woodland Tools Inc,1
OddzOn Prods. Inc,1
Lanard Toys Ltd,1
Just Toys Inc,1
For Woodland Tools Inc,1
For Fiskars Brands Inc,1
Fiskars Brands Inc,1
Dolgencorp LLC,1
Third Party Cadence Design Systems,1
See Celotex Corp,1
Oracle Corp,1
GlaxoSmithKline LLC,1
Cap. One Fin. Corp,1
Alice Corp,1
VLSI Tech. LLC,1
See Fujifilm Corp,1
Rembrandt Wireless Technologies,1
Niazi Licensing Corp,1
Grain Processing Corp,1
Genomics Inc,1
Apotex Corp,1
Amazon.com Inc,1
For X.AI LLC,1
Plaintiff X.AI LLC,1
CA. For Playground AI LLC,1
Rob Bonta X.AI LLC,1
AND RELATED COUNTERCLAIMS. Playground AI,1
Wikineering Open AI,1
Real Foods Pty. Ltd,1
Gen. Motors LLC,1
For Open Artificial Intelligence Inc,1
Cyber-physical-cognitive Systems,1
Co. Ltd,1
Alkemist Labs,1
Payoneer Inc,1
PayPal Inc,1
King Spider LLC,1
KING SPIDER LLC,1
JUDGE For King Spider LLC,1
For Alibaba.com Hong Kong Ltd,1
Defendants King Spider LLC,1
Alibaba.com Singapore E-Commerce Pte. Ltd,1
For TikTok Inc,1
For Bytedance Ltd,1
City Chic Collective Ltd,1
ByteDance Ltd,1
Youngs Drug Products Corp,1
X.AI LLC,1
Some AI,1
Valencia St. LLC,1
News Corporation,1
Brand Nutraceuticals Inc,1
For Alcon Entertainment LLC,1
Chinese Anti-Cult World All. Inc,1
Chevron Corp,1
Calmare Therapeutics Inc,1
Bank Ltd,1
Am. Beverage Corp,1
See Manhattan Cmty. Access Corp,1
Corr. Servs. Corp,1
X.AI Corp,1
Texas Corporation,1
Tesla Inc,1
Pub Ocean Ltd,1
Northstar Fin. Advisors Inc,1
For Warner Bros Discovery Inc,1
For Tesla Inc,1
WebMD LLC,1
Concentrix Ins. Admin. Sols. Corp,1
WEBMD LLC,1
THOUGHTi LLC,1
MS. For WEBMD LLC,1
Chem. Const. Corp,1
Toyota Motor Corp,1
See Saint Lawrence Communs. LLC,1
See Purewick Corp,1
See Paice LLC,1
See Creative Internet Adver. Corp,1
Amazon.com Services LLC,1
Amazon.Com Servs. LLC,1
AMAZON.COM SERVICES LLC,1
Vital Pharm. Vital Pharm. Inc,1
Snap,1
Commonwealth United Corp,1
D.B.C. Corp,1
Yeosu MEC Corp,1
Info. Servs. LLC,1
Random House Inc,1
Nicolet Instrument Corp,1
Manhattan Mini Storage Corp,1
Freedom Forge Corp,1
Buckeye Cellulose Corp,1
Bionpharma Inc,1
Bethlehem Shipbuilding Corp,1
For Babylon Bee LLC,1
While AI,1
Using AI,1
Torrent Leasing Inc,1
Polar Molecular Corp,1
Metals Corp,1
MP Cool Invs. Ltd,1
Harsco Corp,1
Defendant Groq Health Inc,1
Danann Realty Corp,1
DHC Acquisition Corp,1
Counterclaim-Defendant Brand Engagement Network Inc,1
Brand Engagement Network Inc,1
Cigna Corp,1
Secured AI Systems,1
Secured AI,1
Non-Secured AI,1
Standard Sewing Equip. Corp,1
See Orientview Techs. LLC,1
Mart Corp,1
Johnny Blastoff Inc,1
Envicon Equities Corp,1
Defendants Groq Health Inc,1
Rainbow Unicorn Bev LLC,1
TV Chosun Corp,1
Brand Packaging Group Inc,1
Allstar Mktg. Grp. LLC,1
Shanghai Banking Corp,1
S. China Enter. Inc,1
Robertson-Ceco Corp,1
OpenAI GP LLC,1
Netventure24 LLC,1
Kos Media LLC,1
Fort Knox Music Inc,1
For Perplexity AI,1
FinArch LLC,1
Defendant Perplexity AI,1
Citigroup Inc,1
Baker Tilly Hong Kong Ltd,1
Audiovox Corp,1
Aquiline Cap. Partners LLC,1
Youtube LLC,1
Nan Ya Plastics Corp,1
Sengoku Works Ltd,1
IP Application Dev. LLC,1
Bose Corp,1
Adrian Rivera Maynez Enters. Inc,1
TikTok U.S. Data Security Inc,1
TikTok Ltd,1
TikTok LLC,1
Defendants ByteDance Ltd,1
Sundstrand Corp,1
SFM Corp,1
New York Corporation,1
For Outliers Inc,1
For Brand Nutraceuticals Inc,1
Deckers Outdoor Corp,1
WowWee Grp. Ltd,1
Violating Generative AI,1
Sony Comput. Ent. Am. Inc,1
Pheton Holdings Ltd,1
Seoul Broadcasting System International Inc,1
SBS Corp,1
Paramount Pictures Corp,1
Michael Grecco Prods. Inc,1
MBC Gyeongnam Corp,1
MBC Chungbuk Corp,1
MBC Broadcasting Inc,1
Defendants Andong MBC Corp,1
Daejeon MBC Corp,1
Because SBS Corp,1
Aon Corp,1
Actuate Corp,1
Pameco Corp,1
Or. Arena Corp,1
MusclePharm Corp,1
IDX Sys. Corp,1
Grindr Inc,1
CCBill LLC,1
Youngs Drug Prods. Corp,1
HonorSociety.org Inc,1
Honor Society Foundation Inc,1
Creative LLC,1
Wright Express Corporation,1
Wex Inc,1
WEX Inc,1
Salesforce,1
IBM,1
HP Inc,1
Expedia Group Inc,1
Defendants. WEX Inc,1
OpenAI Opco LLC,1
Dish Network Corp,1
Co. LLC,1
Nvidia Corp,1
C.f. Sega Enterprises Ltd,1
Arista Records LLC,1
See VHT Inc,1
Metro-Goldwyn Pictures Corp,1
For Quizlet Inc,1
Vertex AI,1
The Generative AI,1
PaliGemma. The AI,1
Infomir LLC,1
Google AI,1
Defendants Google LLC,1
Cytek Bioscis. Inc,1
Nvidia,1
Bus. Machs. Corp,1
For NVIDIA Corporation,1
Defendant NVIDIA Corporation,1
Navinta LLC,1
Gaia Technologies,1
Fitbug Ltd,1
Crips LLC,1
Cosm. Warriors Ltd,1
Warner Records Inc,1
Unexecuted AI,1
Suno,1
Rhino Entertainment LLC,1
MMAS Rsch. LLC,1
Lime Group LLC,1
Hartmarx Corp,1
Downtown Music Publishing LLC,1
Coastal Corp,1
Sprint Corp,1
OpenAI Holdings LLC,1
OPEN AI,1
OAI Corporation LLC,1
Navient Corp,1
Defendant Microsoft Corporation,1
DC USA. For Microsoft Corporation,1
Clearview AI,1
CA USA. For OpenAI Inc,1
Metal Corp,1
Kirk Kara Corp,1
Storage LLC,1
Wah Kwong Shipping Group Ltd,1
Top AI,1
Supply Mgmt. Inc,1
Runway AI,1
Runway,1
Metro-Goldwyn-Mayer Studios Inc,1
Injunctive Classes. Against Runway AI,1
III. RUNWAY AI,1
II. STABILITY AI,1
Defendants Stability AI Ltd,1
Defendants AI,1
CA. For Stability AI Ltd,1
CA. For Runway AI,1
Against Stability AI,1
Hosp. Corp,1
Atlantic Records Group LLC,1
OPENAI STARTUP FUND MANAGEMENT LLC,1
Where AI,1
High Farms LLC,1
Thomas C. Rubin Microsoft Corporation,1
Media Inc,1
Twentieth Century Fox Corp,1
Passes Inc,1
Nationwide Mktg. Servs. Inc,1
LinkedIn Corp,1
For Famous Birthdays LLC,1
Assocs. Inc,1
Advanta-STAR Auto. Rsch. Corp,1
ADT Sec. Servs. Inc,1
CSX Transp. Inc,1
W. Coast Ent. Corp,1
See Innovation Ventures LLC,1
Verdix AI,1
Plaintiff Comet ML Inc,1
For Perplexity AI Inc,1
For Comet ML Inc,1
Defendant. Comet ML Inc,1
Comet ML Inc,1
BIC Corp,1
Advanced Sys. Concepts Inc,1
See Fashion Exch. LLC,1
NatWest Markets Grp. Inc,1
Meridien BIAO Bank Tanzania Ltd,1
Element Fin. Corp,1
Pittsburg Wholesale Grocers Inc,1
UBS Warburg LLC,1
Atlantic Recording Corporation,1
Defendant Costco Wholesale Corporation,1
WeRide Corp,1
See Space Data Corp,1
Hertz Corp,1
Freightmate AI,1
For Freightmate AI Inc,1
For Flexport Inc,1
FREIGHTMATE AI,1
Wells Fargo Bank N.A. Inc,1
Walmart Inc,1
S. Farm Bureau Cas. Inc,1
Hoosiervac LLC,1
For Costco Wholesale Corporation,1
Although AI,1
KJ Inc,1
Uni-Systems LLC,1
See Capricorn Mgmt. Systems,1
Dean Witter Reynolds Inc,1
VIP Products LLC,1
Twentieth Century Music Corp,1
Newegg Inc,1
Meta AI,1
ComicMix LLC,1
Amilus Inc,1
W. Pub. Corp,1
Ross Intell. Inc,1
Plaintiffs Bartz Inc,1
Joseph Saveri Law Firm Inc,1
Roblox Corp,1
Atl. Recording Corp,1
Ricoh Ams. Corp,1
CA. For Pure Sports Technologies,1
AWH Corp,1
Theta Labs,1
Sliver VR Technologies,1
Defendant Theta Labs,1
See Three Boys Music Corp,1
MGA Ent. Inc,1
Lions Gate Ent. Inc,1
AirScan Inc,1
TCA Television Corp,1
Because LLM AI,1
Sutter Corp,1
Photobucket Inc,1
Easton Diamond Sports LLC,1
Mitsubishi Motors Corp,1
I. FACTS Defendant Photobucket Inc,1
Dillon Co. Inc,1
Defendant Photobucket.com Inc,1
AT&T Mobility LLC,1
Starbucks Corp,1
Savin Corp,1
Regent Baby Prods. Corp,1
Briarpatch Ltd,1
Defendant Google LLC,1
Paxton AI,1
Flycatcher Corp,1
Defendant Pure Sports Technologies LLC,1
For Monsta Athletics LLC,1
Defendant Affable Avenue LLC,1
CVS Corp,1
The AI,1
Port Auth. Trans-Hudson Corp,1
Virgin Enters. Ltd,1
Vantone Grp. Ltd,1
Valley Bodega Wholesale Inc,1
Trading LLC,1
Prime Hosp. Corp,1
Polymer Tech. Corp,1
Maharishi Hardy Blechman Ltd,1
Flycatcher Toys Inc,1
Defendants. Flycatcher Corp. Ltd,1
Cosmopolitan Cosms. Inc,1
A. Factual Background Flycatcher Corp,1
For Pure Sports Technologies LLC,1
Liquid Dynamics Corp,1
Cordis Corp,1
Baldwin Graphic Systems,1
