case_name_final,year_final,court_final,judge_final,docket_number_final,recap_found,opinion_found,data_source_for_text,true_ai_defendants_final,plaintiff_type_lexis,case_theme,procedural_stage_final,outcome_detected_final,motion_outcome_specific_final,dominant_topic,topic_keywords,text_cluster,cluster_keywords,top_tfidf_keywords,nearest_case_name,nearest_case_similarity,fair_use_nlp_score,training_data_nlp_score,scraping_nlp_score,market_harm_nlp_score,memorization_output_nlp_score,dmca_cmi_nlp_score,training_data_conflict_index,fair_use_salience_index,output_risk_index,remedy_pressure_index,case_summary_final
GPNE Corp. v. Apple Inc.,2012,"District Court, N.D. California",Lucy Haeran Koh,5:12-cv-02885,True,True,LexisNexis Text + RECAP Metadata,Stability AI,visual_artist_or_image_owner,training_data_copyright,discovery,granted,unknown,3,"mr, dr, amazon, royalty, patent, zhao, expert",1,"defendants, openai, complaint, plaintiffs, 3d, works, claim",zhao; dr; highly confidential; defendants; confidential; 2014; 300; expert; ecf; image; highly; 2014 wl,"Apple Inc. v. Rivos, Inc.",0.3850930549763869,0,9,0,0,6,0,0.0782608695652174,0.0,0.05084745762711865,0.0,"Andersen v. Stability AI Ltd., 2025 U.S. Dist. LEXIS 133840 Andersen v. Stability AI Ltd., 700 F. Supp. 3d 853 , 2023 U.S. Dist. LEXIS 194324 (N.D. Cal., Oct. 30, 2023) LISA J. CISNEROS ORDER GRANTING DEFENDANTS' REQUEST REGARDING DISCLOSURE TO DR. ZHAO Re: Dkt. No. 300 Before the Court is the parties' joint discovery letter regarding disclosure of highly confidential materials to Plaintiffs' expert, Dr. Ben Yanbin Zhao. ECF No. 300. Defendants object to Plaintiffs disclosing highly confidential material designated as ""ATTORNEYS' EYES ONLY"" or ""HIGHLY CONFIDENTIAL — SOURCE CODE"" to Dr. Zhao. Plaintiffs wish to be able to disclose highly confidential material to Dr. Zhao, who, they contend is ""one of the preeminent researchers in"" the field of AI image generation and thus an invaluable expert. Id. at 300. Dr. Zhao is a computer science professor at the University of Chicago who researches"
Williamson v. Haywood County Justice Complex,2014,"District Court, W.D. Tennessee",James Dale Todd,1:14-cv-01254,True,True,LexisNexis Text + RECAP Metadata,OpenAI,news_publisher,training_data_copyright,discovery,granted; settled_or_stipulated,unknown,1,"llp, ca, plaintiffs, francisco ca, san, san francisco, francisco",3,"llp, plaintiffs, ca, francisco ca, san francisco, francisco, san",mr; deposition; project; llp; deponent; rule 30; preparation; 30; 30 deposition; ca; schiller; flexner,"In Re: OpenAI, Inc. Copyright Infringement Litigation",0.605670366740732,0,3,0,0,6,0,0.02608695652173913,0.22857142857142856,0.05084745762711865,0.0,"In re Openai, Inc., 2026 U.S. Dist. LEXIS 76901 In re Openai, Inc., 2025 U.S. Dist. LEXIS 97943 , 2025 WL 1442678 (May 13, 2025) Ona T. Wang OPINION & ORDER RE: MONACO DEPOSITION ONA T. WANG , United States Magistrate Judge : The Court is in receipt of ECF Nos. 1220, 1267, 1312, 1314, and 1337. This Opinion and Order addresses only issues arising from the Rule 30(b)(6) [and Rule 30(b)(1) ] deposition of OpenAI 's designee (and current employee) John Vincent ""Vinnie"" Monaco. Mr. Monaco was OpenAI 's designated witness on three 30(b)(6) topics related to regurgitation and ""Project Giraffe."" See ECF 1274-1 at 2. Plaintiffs seek additional discovery in the form of additional deposition time of Mr. Monaco , collection and production of additional discovery, and sanctions under Rule 37(a)(5) . As discussed below, the Court finds that Mr. Monaco was not sufficiently prepared for his 30(b)(6) de"
"Halcyon Horizons, Incorporated v. Delphi Behavioral Health Group, LLC",2017,"District Court, N.D. California",Jon Steven Tigar,4:17-cv-00756,True,True,LexisNexis Text + RECAP Metadata,,book_author_or_author_group,training_data_copyright,motion_to_dismiss,denied; dismissed; granted; reversed,unknown,0,"openai, complaint, plaintiffs, defendants, 3d, claim, works",2,"mark, ravine, trademark, ai, decl, marks, fac",laches; trademark; statute limitations; 3d; limitations; standing; mark; fac; defendants; statute; delay; claims,"Playground AI LLC v. Mighty Computing, Inc.",0.27417304450703983,0,1,0,0,0,0,0.008695652173913044,0.2857142857142857,0.0,0.0,"Hollis v. Render, 2025 U.S. Dist. LEXIS 139005 Hollis v. Render, 2024 U.S. Dist. LEXIS 216420 , 2024 WL 5439264 (Nov. 27, 2024) MICHAEL W. FITZGERALD CIVIL MINUTES—GENERAL Proceedings (In Chambers) : ORDER GRANTING DEFENDANTS' MOTION TO DISMISS [45]; ENTRY OF JUDGMENT Before the Court is a Motion to Dismiss (the ""Motion"") filed by Defendants Michael Render and Courtney Sills on May 9, 2025. (Docket No. 45). Plaintiff Tia Hollis filed an Opposition on May 12, 2025. (Docket No. 46). Defendants filed a Reply on May 23, 2025. (Docket No. 48). The Motion was noticed to be heard on June 9 , 2025 . The Court read and considered the papers on the Motion and deemed the matter appropriate for decision without oral argument. See Fed. R. Civ. P. 78(b) ; Local Rule 7-15 . The hearing was therefore VACATED and removed from the Court's calendar. For reasons discussed below, the Motion is GRANTED withou"
"Synopsys, Inc. v. Real Intent, Inc.",2020,"District Court, N.D. California",Edward John Davila,5:20-cv-02819,True,True,LexisNexis Text + RECAP Metadata,,book_author_or_author_group,training_data_copyright,copyright_registration; summary_judgment,denied,unknown,3,"mr, dr, amazon, royalty, patent, zhao, expert",4,"mr, flycatcher, amazon, royalty, feldman, dr, kelly",dr; real; intent; opinions; mr; fair use; rep; exclude; levitt; commands; command; fair,"Dialect, LLC v. Amazon.Com, Inc.",0.3278012049541535,66,1,0,10,0,0,0.5642512077294686,1.2219924812030076,0.0,0.2962962962962963,"Synopsys, Inc. v. Real Intent, Inc., 2024 U.S. Dist. LEXIS 239030 EDWARD J. DAVILA ORDER ON MOTIONS FOR PARTIAL SUMMARY JUDGMENT AND DAUBERTS Re: ECF Nos. 258, 261, 264, 267, 269, 273, 275, 297, 438 REDACTED PUBLIC VERSION Plaintiff Synopsys, Inc. moves for partial summary judgment its breach of contract and Defendant Real Intent, Inc. 's fourth, fifth, sixth, seventh, eighth, ninth, tenth, eleventh, twelfth, thirteenth, fourteenth, seventeenth, and twenty-third affirmative defenses. Synopsys Motion for Partial Summary Judgment ("" Synopsys MSJ""), ECF No. 273. Synopsys also moves to exclude the opinions of Real Intent 's experts Mr. Bradley Howe ( ECF No. 264 ("" Howe Mot ."")), Dr. Brad Quinton ( ECF No. 267 (""Quinton Mot."")), Ms. Melissa Bennis ( ECF No. 269 ("" Bennis Mot ."")), and Dr. Marc Levitt ( ECF No. 275 ("" Levitt Mot ."")). Real Intent moves for partial summary judgment on its fair"
"Apple Inc. v. Rivos, Inc.",2022,"District Court, N.D. California",P. Casey Pitts,5:22-cv-02637,True,False,LexisNexis Text + RECAP Metadata,,book_author_or_author_group,training_data_copyright,discovery; motion_to_dismiss,dismissed; granted_in_part_denied_in_part,motion_to_dismiss_granted_in_part_denied_in_part,0,"openai, complaint, plaintiffs, defendants, 3d, claim, works",1,"defendants, openai, complaint, plaintiffs, 3d, works, claim",zhao; trade; secrets; trade secrets; trade secret; secret; misappropriation; compl; code; conspiracy; source code; inference,GPNE Corp. v. Apple Inc.,0.3850930549763869,0,5,0,0,0,2,0.043478260869565216,0.0,0.0,0.0,"Flexport, Inc. v. Freightmate AI, Inc., 2025 U.S. Dist. LEXIS 161200 Request denied by Flexport, Inc. v. Freightmate AI, Inc., 2026 U.S. Dist. LEXIS 21561 , 2026 WL 266453 (Feb. 2, 2026) Later proceeding at Flexport, Inc. v. Freightmate AI, Inc., 2026 U.S. Dist. LEXIS 51700 (Mar. 11, 2026) Motion denied by Flexport, Inc. v. Freightmate AI, Inc., 2026 U.S. Dist. LEXIS 72120 , 2026 WL 891607 (Apr. 1, 2026) Motion granted by, in part, Motion denied by, in part Flexport, Inc. v. Freightmate AI, Inc., 2026 U.S. Dist. LEXIS 75001 (N.D. Cal., Apr. 6, 2026) RITA F. LIN ORDER GRANTING IN PART AND DENYING IN PART FREIGHTMATE AND LACAILLADE'S MOTIONS TO DISMISS WITH LEAVE TO AMEND Re: Dkt. Nos. 35, 36, 36-1, 38-2. Plaintiff Flexport, Inc. ("" Flexport "") alleges that former employees Yingwei Zhao and Bryan Lacaillade exfiltrated thousands of documents from Flexport to rapidly develop and launch a co"
Bean v. Commissioner of Social Security,2022,"District Court, N.D. West Virginia",Gina Marie Groh,3:22-cv-00208,True,False,LexisNexis Text + RECAP Metadata,,visual_artist_or_image_owner,other_ai_copyright,appeal; discovery; preliminary_injunction,granted,unknown,4,"speech, anthropic, claude, injunction, ai, ab, publishers",0,"speech, anthropic, claude, injunction, ab, publishers, pure sports",speech; injunction; honor; society; disclaimer; commercial speech; district court; org; overbroad; theta; district; amendment,X.AI LLC v. Bonta,0.38590446367462394,0,0,0,0,0,0,0.0,0.0,0.0,0.4032258064516129,"Phi Theta Kappa Honor Soc'y v. Honorsociety.Org., Inc., 2025 U.S. App. LEXIS 8090 Appeal from the United States District Court for the Southern District of Mississippi . USDC No. 3:22-CV-208. Phi Theta Kappa Honor Soc'y v. HonorSociety.Org, Inc., 2024 U.S. Dist. LEXIS 150396 , 2024 WL 3904781 (S.D. Miss., Aug. 22, 2024) Per Curiam : HonorSociety.org and its corporate affiliate, Honor Society Foundation, (collectively, ""HonorSociety"") appeal the entry of a preliminary injunction that prohibits them from engaging in several forms of online speech and compels them to include a ""disclaimer"" in its future online posts that reference this litigation. Because we agree with HonorSociety that the injunction is overbroad and compels speech in violation of the First Amendment , we VACATE the injunction and REMAND to the district court . I This case involves two honor societies that compete in the c"
"Fiskars Finland Oy Ab v. Woodland Tools, Inc.",2022,"District Court, W.D. Wisconsin",James Donald Peterson,3:22-cv-00540,True,False,LexisNexis Text + RECAP Metadata,,visual_artist_or_image_owner,other_ai_copyright,motion_to_dismiss; summary_judgment,granted,unknown,3,"mr, dr, amazon, royalty, patent, zhao, expert",1,"defendants, openai, complaint, plaintiffs, 3d, works, claim",woodland; design; prior art; accused; handles; functional; patent; cutting; accused product; art; false; products,"Synopsys, Inc. v. Real Intent, Inc.",0.12322137583453932,0,0,0,0,0,0,0.0,0.0,0.13043478260869565,0.0,"Fiskars Finland Oy Ab v. Woodland Tools Inc., 2024 U.S. Dist. LEXIS 153144 Fiskars Finland Oy Ab v. Woodland Tools Inc., 2024 U.S. Dist. LEXIS 118079 , 2024 WL 3251781 (W.D. Wis., May 15, 2024) JAMES D. PETERSON OPINION and ORDER This case is a battle between competitors in the hand-held gardening tool market. The plaintiffs are Fiskars Finland Oy Ab and Fiskars Brands Inc. , of orange-handled scissors fame. Defendant Woodland Tools, Inc. is the upstart. Fiskars says that Woodland , through an affiliated company, defendant Lumino, Inc. , recruited three Fiskars 's employees to use Fiskars 's designs, trade secrets, and confidential information for a line of copycat tools. Woodland asserts counterclaims against Fiskars for false advertising and tortious interference. The parties seek summary judgment on virtually all issues. The many claims and counterclaims mostly miss the mark, and the "
"Netlist, Inc. v. Samsung Electronics Co, LTD",2022,"District Court, E.D. Texas",James Rodney Gilstrap,2:22-cv-00293,True,True,LexisNexis Text + RECAP Metadata,,unknown,other_ai_copyright,appeal,denied; dismissed; granted,unknown,3,"mr, dr, amazon, royalty, patent, zhao, expert",4,"mr, flycatcher, amazon, royalty, feldman, dr, kelly",royalty; amazon; ongoing; vb; assets; rate; patent; 681; jury; royalty rate; patents; 176,"Dialect, LLC v. Amazon.Com, Inc.",0.41055934425775964,0,0,0,0,0,0,0.0,0.0,0.0,0.2222222222222222,"VB Assets, LLC v. Amazon.Com Servs. LLC, 2024 U.S. Dist. LEXIS 224942 Appeal dismissed by, Stay denied by VB Assets, LLC v. Amazon.Com Servs. LLC, 2025 U.S. App. LEXIS 5455 (Fed. Cir., Mar. 10, 2025) VB Assets, LLC v. Amazon.com, Inc., 2020 U.S. Dist. LEXIS 169078 , 2020 WL 5549088 (D. Del., Sept. 16, 2020) Maryellen Noreika MEMORANDUM OPINION December 12, 2024 Wilmington , Delaware /s/ Maryellen Noreika NOREIKA , U.S. DISTRICT JUDGE: Presently before the Court is Plaintiff VB Assets, LLC 's post-trial motion for an ongoing royalty. (D.I. 300). For the reasons that follow, the Court will award Plaintiff an ongoing royalty of $0.25 for the '176 and '097 patents per net new Alexa shopping user, and $0.45 for the '681 patent per net new Alexa user. I. BACKGROUND The Court presided over a five-day jury trial from November 2, 2023 to November 8, 2023. ( See D.I. 303-307 (""Tr."")). At trial, Pl"
ZAYAS v. United States,2022,United States Court of Federal Claims,Armando O. Bonilla,1:22-cv-01564,True,True,LexisNexis Text + RECAP Metadata,Perlmutter / Copyright Office,book_author_or_author_group,training_data_copyright,appeal; copyright_registration; summary_judgment; transfer_or_mdl,affirmed; denied; settled_or_stipulated,unknown,3,"mr, dr, amazon, royalty, patent, zhao, expert",1,"defendants, openai, complaint, plaintiffs, 3d, works, claim",author; human; dr; copyright office; authorship; work; machine; office; copyright act; congress; authors; act,"Synopsys, Inc. v. Real Intent, Inc.",0.16135824384522887,0,1,0,0,0,0,0.008695652173913044,0.0,0.0,0.0,"Thaler v. Perlmutter, 130 F.4th 1039 Rehearing denied by, En banc Thaler v. Perlmutter, 2025 U.S. App. LEXIS 11497 , 2025 WL 1373093 (May 12, 2025) US Supreme Court certiorari denied by Thaler v. Perlmutter, 2026 U.S. LEXIS 1189 (U.S., Mar. 2, 2026) Appeal from the United States District Court for the District of Columbia . (No. 1:22-cv-01564). Thaler v. Perlmutter, 687 F. Supp. 3d 140 , 2023 U.S. Dist. LEXIS 145823 (D.D.C., Aug. 18, 2023) MILLETT Millett , Circuit Judge : This case presents a question made salient by recent advances in artificial intelligence: Can a non-human machine be an author under the Copyright Act of 1976 ? The use of artificial intelligence to produce original work is rapidly increasing across industries and creative fields. Who—or what—is the ""author"" of such work is a question that implicates important property rights undergirding economic growth and creative i"
"A.A. v. The City of Jackson, Mississippi",2023,"District Court, S.D. Mississippi",Carlton Wayne Reeves,3:23-cv-01640,True,False,LexisNexis Text + RECAP Metadata,,book_author_or_author_group,other_ai_copyright,appeal; discovery; motion_to_dismiss,dismissed; granted_in_part_denied_in_part,motion_to_dismiss_granted_in_part_denied_in_part,0,"openai, complaint, plaintiffs, defendants, 3d, claim, works",1,"defendants, openai, complaint, plaintiffs, 3d, works, claim",amendment; excessive; force; deputy; doc; wilson; hughes; arrest; claim; pa; 3d cir; officers,Morgan v. Community Against Violence,0.21270368935261616,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"Wilson v. Spathelf, 2025 U.S. Dist. LEXIS 171256 Appeal terminated, 01/06/2026 Leo A. Latella REPORT AND RECOMMENDATION I. Introduction The Plaintiff, David Mark Wilson, is a pretrial detainee currently confined at the Lackawanna County Prison. He is being held there in connection with a pending criminal prosecution in Lackawanna County on charges of aggravated assault, simple assault, resisting arrest, reckless endangerment, disorderly conduct, public drunkenness, and harassment. His criminal charges arise out of an incident that occurred in the City of Scranton on July 19, 2022, which are the same events forming the basis of this civil rights action pursuant to 42 U.S.C. § 1983 . Wilson is alleging excessive force on the part of five City of Scranton police officers and two Lackawanna County Deputy Sheriffs who arrested him on that day. He further brings suit against the prosecutor in "
